RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Sounds like you have a solid support system, Luis. Having a good relationship with your parents can make a big difference, and it's awesome that Richard has been there for you as a trusted friend. What kind of stuff do you usually do with Richard?","{'NEG': 0.0012245700927451253, 'NEU': 0.00878476444631815, 'POS': 0.9899907112121582}",POS,"{'others': 0.4806041121482849, 'joy': 0.508406400680542, 'sadness': 0.002561767352744937, 'anger': 0.001524645951576531, 'surprise': 0.0025894446298480034, 'disgust': 0.002059565158560872, 'fear': 0.0022541081998497248}",joy,"{'not ironic': 0.8502459526062012, 'ironic': 0.14975404739379883}",not ironic
"That makes sense, Luis. Being bullied can definitely leave an impression. It's good that you're reflecting on your feelings about privacy – I'm here to listen and share my thoughts. What would you like to know about my attitudes towards privacy?","{'NEG': 0.01623138040304184, 'NEU': 0.4387136697769165, 'POS': 0.5450549721717834}",POS,"{'others': 0.9661692380905151, 'joy': 0.02354513108730316, 'sadness': 0.0022038717288523912, 'anger': 0.0008560147252865136, 'surprise': 0.0023608526680618525, 'disgust': 0.0021562865003943443, 'fear': 0.0027084595058113337}",others,"{'not ironic': 0.4370744526386261, 'ironic': 0.5629255771636963}",ironic
"Honestly, I think it's great that you'd share something like that with someone you trust, so they can offer emotional support. That kind of vulnerability can actually bring people closer together and strengthen friendships.","{'NEG': 0.0012307742144912481, 'NEU': 0.014693229459226131, 'POS': 0.9840759634971619}",POS,"{'others': 0.9672676920890808, 'joy': 0.007540483493357897, 'sadness': 0.006520040333271027, 'anger': 0.0009684051619842649, 'surprise': 0.0037416452541947365, 'disgust': 0.008305154740810394, 'fear': 0.005656622350215912}",others,"{'not ironic': 0.9234622120857239, 'ironic': 0.07653782516717911}",not ironic
"Let's start step-by-step. Sharing info about my personal life, like sexual orientation, with someone I trust isn't a big deal to me. I would rate this statement as a 4 – it feels okay to share with someone close, considering they can offer emotional support.","{'NEG': 0.006121618207544088, 'NEU': 0.6212425231933594, 'POS': 0.3726358413696289}",NEU,"{'others': 0.9733009934425354, 'joy': 0.015907417982816696, 'sadness': 0.002137913601472974, 'anger': 0.0008614402613602579, 'surprise': 0.002681225771084428, 'disgust': 0.0021493486128747463, 'fear': 0.0029615501407533884}",others,"{'not ironic': 0.9586971998214722, 'ironic': 0.04130278900265694}",not ironic
"Breaking it down step-by-step... When sharing personal info with someone trusted, like a best friend, I'd assume they'll be responsible and respectful. Rating this statement, I'd give it a 5 – trust is key in situations like this.","{'NEG': 0.008620161563158035, 'NEU': 0.7706160545349121, 'POS': 0.22076381742954254}",NEU,"{'others': 0.9745208024978638, 'joy': 0.010644505731761456, 'sadness': 0.004112437833100557, 'anger': 0.0010705970926210284, 'surprise': 0.002179563045501709, 'disgust': 0.003779592690989375, 'fear': 0.0036924381274729967}",others,"{'not ironic': 0.9576215744018555, 'ironic': 0.04237842932343483}",not ironic
"Considering the situation, sharing info about my personal life, like sexual orientation, with a trusted friend is likely for a good reason – emotional support. Breaking it down step-by-step, I believe the purpose here is legitimate because it's meant to strengthen our friendship and offer a supportive ear. I'd rate this statement a 5.","{'NEG': 0.0015680831857025623, 'NEU': 0.07710596174001694, 'POS': 0.9213260412216187}",POS,"{'others': 0.9746379852294922, 'joy': 0.013830491341650486, 'sadness': 0.0026540528051555157, 'anger': 0.0007890840643085539, 'surprise': 0.0025750347413122654, 'disgust': 0.002545437775552273, 'fear': 0.002967922715470195}",others,"{'not ironic': 0.9576994180679321, 'ironic': 0.04230058938264847}",not ironic
"Thinking step-by-step, sharing personal info with someone trusted, like a best friend, seems reasonable. Most people would probably be okay with sharing intimate details with someone they trust, especially if it's for emotional support. I'd rate this statement a 4 – it's a fairly safe assumption.","{'NEG': 0.00471562659367919, 'NEU': 0.4378935992717743, 'POS': 0.5573907494544983}",POS,"{'others': 0.9737512469291687, 'joy': 0.0061231013387441635, 'sadness': 0.0027746427804231644, 'anger': 0.0009770728647708893, 'surprise': 0.002615837613120675, 'disgust': 0.010839446447789669, 'fear': 0.002918591257184744}",others,"{'not ironic': 0.9380301833152771, 'ironic': 0.06196979805827141}",not ironic
"I think sharing something personal like that with a friend can actually be really freeing. If I trusted this friend enough to confide in them, I'd probably feel relieved to have someone who understands and can offer emotional support.","{'NEG': 0.001925228745676577, 'NEU': 0.0539906769990921, 'POS': 0.9440840482711792}",POS,"{'others': 0.7030446529388428, 'joy': 0.275946706533432, 'sadness': 0.009146447293460369, 'anger': 0.0010295627871528268, 'surprise': 0.004847339820116758, 'disgust': 0.0016705762827768922, 'fear': 0.004314735531806946}",others,"{'not ironic': 0.9439687728881836, 'ironic': 0.05603116750717163}",not ironic
"Breaking it down step-by-step, I think sharing information about my personal life, like sexual orientation, with someone I trust is fine. This kind of sharing is done for emotional support, which makes it feel okay. Rating this statement, I'd give it a 4 – it seems suitable for a trusted friend.","{'NEG': 0.0013704223092645407, 'NEU': 0.0555649995803833, 'POS': 0.9430645108222961}",POS,"{'others': 0.9724756479263306, 'joy': 0.017636330798268318, 'sadness': 0.0017044387059286237, 'anger': 0.0008822846575640142, 'surprise': 0.0029034886974841356, 'disgust': 0.0019990443252027035, 'fear': 0.00239876052364707}",others,"{'not ironic': 0.9622768759727478, 'ironic': 0.03772320970892906}",not ironic
"Let's consider it step-by-step. Since the information is shared with someone I trust, a friend, I believe they'll handle it responsibly. After all, that's what friends are for – support and understanding. Given that, I'd rate this statement a 5, trusting that my friend will respect my confidence.","{'NEG': 0.002450392348691821, 'NEU': 0.1655186265707016, 'POS': 0.8320310115814209}",POS,"{'others': 0.9504885673522949, 'joy': 0.03368956595659256, 'sadness': 0.006610161159187555, 'anger': 0.0009907075436785817, 'surprise': 0.0018819679971784353, 'disgust': 0.0021222627256065607, 'fear': 0.0042168195359408855}",others,"{'not ironic': 0.957219660282135, 'ironic': 0.042780302464962006}",not ironic
